name,type,latitude,longitude
CRESSEY_1_N003,Generation Node,37.4285,-120.64
JRWOOD_1_N001,Load Node,37.37,-120.64
JRWDGEN_1_N001,Generation Node,37.37,-120.63
ATWATER_1_B2,Load Node,37.36,-120.61
ATWATER_1_N001,Load Node,37.36,-120.61
MERCED_1_N002,Load Node,37.2728,-120.49
MERCED_1_N001,Load Node,37.2728,-120.49
ELCAPTN_1_N004,Load Node,37.3358,-120.51
ELCAPTN_1_N005,Load Node,37.3655,-120.58
ELCAPTN_1_N001,Load Node,37.3358,-120.51
ELNIDO_1_N001,Load Node,33.8962,-118.37
ELNIDO_1_N004,Load Node,37.1206,-120.47
DELAMO_2_N001,Load Node,33.8483,-118.1
DELAMO_2_N014,Load Node,33.8483,-118.1
DELAMO_2_N022,Load Node,33.8483,-118.1
WILSONAB_1_N001,Load Node,37.2908,-120.41
VESTAL_6_N001,Load Node,35.857,-119.09
VESTAL_6_N002,Generation Node,35.857,-119.09
VESTAL_6_N004,Generation Node,35.857,-119.09
VESTAL_6_N006,Generation Node,35.857,-119.09
HINSON_6_N001,Load Node,33.8189,-118.22
LBEACH1G_7_N001,Generation Node,33.8189,-118.22
LBEACH2G_7_N001,Generation Node,33.8189,-118.22
LBEACH2G_7_N002,Load Node,33.82,-118.21
LBEACH3G_7_N001,Generation Node,33.8189,-118.22
LBEACH4G_7_N001,Generation Node,33.8189,-118.22
SERRFGEN_7_B1,Generation Node,33.8189,-118.22
CARBOGEN_7_B1,Generation Node,33.8189,-118.22
HINSON_2_B1,Generation Node,33.84,-118.23
HARBORG_7_B2,Generation Node,33.77,-118.25
HARBORG_7_B3,Generation Node,33.77,-118.25
HARBORG_7_B4,Generation Node,33.77,-118.25
HARBORG_7_N101,Load Node,33.77,-118.25
ICEGEN_7_B1,Generation Node,33.8805,-118.18
LITEHIPE_6_N001,Load Node,33.8805,-118.18
LITEHIPE_6_N006,Generation Node,33.8805,-118.18
LITEHIPE_6_N008,Load Node,33.8805,-118.18
MCMULLN1_2_N001,Load Node,36.5928,-119.99
ARCO1G_7_B1,Generation Node,33.8175,-118.24
LCIENEGA_6_N001,Load Node,34.0008,-118.38
CENTERS_6_N001,Load Node,33.9288,-118.11
CENTERS_6_N004,Generation Node,33.9288,-118.11
CENTERS_6_N200,Load Node,33.9288,-118.11
CTRPKGEN_7_B1,Generation Node,33.9288,-118.11
LAFRESA_6_N001,Load Node,33.8697,-118.33
LAFRESA_6_N003,Generation Node,33.8697,-118.33
LAFRESA_6_N007,Load Node,33.8697,-118.33
ELNIDO_2_N001,Load Node,37.1206,-120.47
ELNIDO_2_N012,Load Node,33.8962,-118.37
ELSEG3G_7_B1,Generation Node,33.9085,-118.42
ELSEG4G_7_B1,Generation Node,33.9085,-118.42
ELSEGNDO_2_B1,Generation Node,33.9,-118.42
REDON5G_7_B1,Generation Node,33.8526,-118.39
REDON6G_7_B1,Generation Node,33.8526,-118.39
REDON7G_7_B1,Generation Node,33.8526,-118.39
REDON8G_7_B1,Generation Node,33.8526,-118.39
LAGUBELL_6_N001,Load Node,33.9759,-118.15
LAGUBELL_6_N005,Generation Node,33.9759,-118.15
LAGUBELL_6_N210,Load Node,33.9759,-118.15
MCDISLE_6_N001,Load Node,37.937,-121.53
LAGUBELL_2_B1,Generation Node,33.98,-118.15
VELASCO_2_N100,Generation Node,34,-118.09
EASTWOOD_7_B1,Generation Node,37.1441,-119.27
BIGCRK1_7_N001,Load Node,37.2021,-119.24
BCRK1-2_1_N003,Generation Node,37.2021,-119.24
BCRK1-2_1_N004,Generation Node,37.2021,-119.24
BIGCRK1_2_B1,Generation Node,37.2,-119.24
BIGCRK2_2_B1,Generation Node,37.21,-119.32
BIGCRK8_2_B1,Generation Node,37.18,-119.25
BIGCRK3_2_B1,Generation Node,37.14,-119.39
MAMOTH1G_7_B1,Generation Node,37.23,-119.35
MAMOTH2G_7_B1,Generation Node,37.23,-119.33
BCRK4_7_B1,Generation Node,37.13,-119.5
BCRK4_7_B3,Generation Node,37.13,-119.5
BIGCRK4_2_B1,Generation Node,37.14,-119.49
MESACAL_6_N001,Load Node,34.0375,-118.11
MESACAL_6_N004,Generation Node,34.0355,-118.11
WILKINS_6_N001,Load Node,39.0055,-121.87
MELONES_2_N014,Generation Node,37.949,-120.52
MDLRIVR_6_N001,Load Node,37.937,-121.53
SANMRCOS_6_N001,Load Node,33.1288,-117.2
SANMRCOS_6_N007,Load Node,33.1288,-117.2
SANMRCOS_6_N011,Load Node,33.1288,-117.2
SANMRCOS_6_N012,Generation Node,33.1288,-117.2
JAPMESA_6_N001,Load Node,33.3743,-117.55
JAPMESA_6_N007,Load Node,33.3743,-117.55
CRSTNTS_6_N001,Load Node,33.4634,-117.57
RIOHONDO_6_N001,Load Node,34.1061,-117.98
RIOHONDO_6_N004,Generation Node,34.1061,-117.98
RIOHONDO_6_N007,Generation Node,34.1061,-117.98
GUALALA_6_N001,Load Node,38.7867,-123.52
OTTER_6_N001,Load Node,36.4778,-121.73
LEMOORE_6_N002,Load Node,36.31,-119.8
LEMOORE_6_N101,Load Node,36.31,-119.8
WARNERVL_2_B1,Generation Node,37.74,-120.8
WARNERVL_2_B2,Generation Node,37.74,-120.8
HOOPA_6_N001,Load Node,41.0565,-123.68
LAGNANL_1_N001,Load Node,33.4949,-117.7
LAGNANL_1_N002,Load Node,33.4949,-117.7
LAGNANL_1_N005,Load Node,33.4949,-117.7
LAGNANL_1_N006,Load Node,33.4949,-117.7
COTTLE_7_N001,Load Node,37.7726,-120.83
COTTLE_7_N002,Generation Node,37.7726,-120.83
CAPSTRNO_1_N001,Load Node,33.5129,-117.67
CAPSTRNO_1_N006,Load Node,33.5129,-117.67
CAPSTRNO_1_N016,Generation Node,33.5129,-117.67
COTTLEA_2_N001,Load Node,37.7726,-120.83
TRABUCO_1_N001,Load Node,33.563,-117.67
TRABUCO_1_N005,Load Node,33.563,-117.67
TRABUCO_1_N009,Load Node,33.563,-117.67
TRABUCO_1_N013,Load Node,33.563,-117.67
LINDEN_6_N101,Load Node,38.0169,-121.1
MARGARTA_1_N009,Load Node,33.55,-117.63
MARGARTA_1_N001,Load Node,33.55,-117.63
MARGARTA_1_N002,Load Node,33.55,-117.63
MARGARTA_1_N008,Load Node,33.55,-117.63
JCBSCRNR_6_N001,Load Node,36.2225,-119.78
JCBSCRNR_6_N003,Load Node,36.2225,-119.78
HERDLYN_6_N001,Load Node,37.8164,-121.59
CALISTGA_6_N001,Load Node,38.5927,-122.58
FIREBAGH_6_N001,Load Node,36.8507,-120.47
OLINDA_6_N001,Load Node,33.9461,-117.92
OLINDA_6_N002,Generation Node,33.9461,-117.92
OLINDA_6_N004,Generation Node,33.9461,-117.92
OLINDA_6_N007,Generation Node,33.9461,-117.92
MELROSE_6_N001,Load Node,33.2065,-117.25
MELROSE_6_N004,Load Node,33.2065,-117.25
MELROSE_6_N005,Load Node,33.2065,-117.25
MELROSE_6_N009,Load Node,33.2065,-117.25
SANMATEO_1_N001,Load Node,37.5833,-122.32
SANMATEO_1_N009,Load Node,37.5833,-122.32
HORNO_6_N001,Load Node,33.3783,-117.46
LASPULGS_6_N001,Load Node,37.4629,-122.23
WALNUT_6_N001,Load Node,34.0085,-117.95
WALNUT_6_N007,Generation Node,34.0085,-117.95
WALNUT_6_N008,Generation Node,34.0085,-117.95
PICO_1_N001,Load Node,33.4568,-117.59
PICO_1_N004,Load Node,33.4568,-117.59
MUSLSLGH_6_N001,Load Node,36.2645,-119.91
LAURELES_6_N001,Load Node,36.4778,-121.73
HILLGEN_7_B1,Generation Node,34.0085,-117.95
BIXLER_6_N001,Load Node,37.937,-121.53
KEARNEY_7_N001,Load Node,36.7044,-119.88
