INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2020-01-04T17:00:00-00:00,1/4/20,9,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,30.39232,13
2020-01-04T16:00:00-00:00,1/4/20,8,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,33.21036,13
2020-01-04T11:00:00-00:00,1/4/20,3,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,31.20003,13
2020-01-04T09:00:00-00:00,1/4/20,1,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,33.11367,13
2020-01-04T12:00:00-00:00,1/4/20,4,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,31.23398,13
2020-01-04T15:00:00-00:00,1/4/20,7,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,37.03577,13
2020-01-05T05:00:00-00:00,1/4/20,21,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,38.24882,13
2020-01-05T08:00:00-00:00,1/4/20,24,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,33.1938,13
2020-01-04T18:00:00-00:00,1/4/20,10,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,25.38345,13
2020-01-04T20:00:00-00:00,1/4/20,12,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,17.83244,13
2020-01-04T22:00:00-00:00,1/4/20,14,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,16.66397,13
2020-01-04T23:00:00-00:00,1/4/20,15,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,21.80753,13
2020-01-05T02:00:00-00:00,1/4/20,18,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,39.67855,13
2020-01-04T10:00:00-00:00,1/4/20,2,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,31.42256,13
2020-01-05T04:00:00-00:00,1/4/20,20,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,39.61851,13
2020-01-05T07:00:00-00:00,1/4/20,23,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,34.22932,13
2020-01-05T00:00:00-00:00,1/4/20,16,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,30.10519,13
2020-01-04T19:00:00-00:00,1/4/20,11,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,21.26597,13
2020-01-05T01:00:00-00:00,1/4/20,17,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,36.63546,13
2020-01-05T03:00:00-00:00,1/4/20,19,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,40.27641,13
2020-01-05T06:00:00-00:00,1/4/20,22,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,37.54072,13
2020-01-04T13:00:00-00:00,1/4/20,5,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,31.24638,13
2020-01-04T14:00:00-00:00,1/4/20,6,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,32.99333,13
2020-01-04T21:00:00-00:00,1/4/20,13,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,17.42925,13
2020-01-06T06:00:00-00:00,1/5/20,22,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,36.42058,17
2020-01-05T19:00:00-00:00,1/5/20,11,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,17.74975,17
2020-01-05T09:00:00-00:00,1/5/20,1,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,34.09241,17
